isbn13,title,author,genre
"=""9788954442695""",삼체 1부 : 삼체문제,"류츠신 (지은이), 이현아 (옮긴이)",국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설
"=""9788932473901""",이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이)",국내도서>과학>생명과학>생명과학
"=""9791198363510""",아몬드 - 제10회 창비 청소년문학상 수상작,손원평 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9788983711540""",코스모스,"칼 세이건 (지은이), 홍승수 (옮긴이)",국내도서>과학>천문학>우주과학
"=""9788936434595""",채식주의자 (리마스터판) - 2024 노벨문학상 수상작가,한강 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9788998441012""",모순 - 개정판,양귀자 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
"=""9788954687041""","새의 선물 - 제1회 문학동네소설상 수상작, 개정판",은희경 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9791167376565""",겨울통,정용준 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9788936439743""","혼모노 (리커버, 양장)",성해나 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9791171713929""",여름은 고작 계절,김서해 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9791193235607""",강하고 아름다운 할머니가 되고 싶어 - 제12회 브런치북 출판 프로젝트 대상 수상작,김슬기 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9788973374939""",눈먼 자들의 도시 (탄생 100주년 기념 스페셜 에디션),"주제 사라마구 (지은이), 정영목 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>기타 국가 소설
"=""9791161571188""",불편한 편의점 (벚꽃 에디션),김호연 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
"=""9788932919874""",핵을 들고 도망친 101세 노인,"요나스 요나손 (지은이), 임호경 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>북유럽소설
