isbn13,title,author,genre,salesPoint
9791175773387,신 퇴마록 신세편 2,이우혁 (지은이),국내도서>소설/시/희곡>호러.공포소설>한국 호러.공포소설,54350
9791198547514,수족관,유래혁 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,53900
9791175773394,신 퇴마록 신세편 3,이우혁 (지은이),국내도서>소설/시/희곡>호러.공포소설>한국 호러.공포소설,52840
9791170612759,가공범,"히가시노 게이고 (지은이), 김선영 (옮긴이)",국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,51953
9791191043297,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키 (지은이), 권영주 (옮긴이)",국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,51409
9791141602024,2025 제16회 젊은작가상 수상작품집,"백온유, 강보라, 서장원, 성해나, 성혜령, 이희주, 현호정 (지은이)",국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,50571
9791192300818,마흔에 읽는 쇼펜하우어 - 마음의 위기를 다스리는 철학 수업,강용수 (지은이),국내도서>인문학>서양철학>근대철학>쇼펜하우어,50502
9791198754080,다크 심리학,다크 사이드 프로젝트 (지은이),국내도서>인문학>심리학/정신분석학>교양 심리학,49816
9788962626605,먼저 온 미래 - AI 이후의 세계를 경험한 사람들,장강명 (지은이),국내도서>인문학>교양 인문학,49772
9791159921445,사탄탱고 - 2025 노벨문학상 수상,"크러스너호르커이 라슬로 (지은이), 조원규 (옮긴이)",국내도서>소설/시/희곡>세계의 소설>동유럽소설,49418
9788954616515,희랍어 시간 - 2024 노벨문학상 수상작가,한강 (지은이),국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,48555
9791193842287,어른의 품격을 채우는 100일 필사 노트,김종원 (지은이),국내도서>자기계발>성공>성공학,48233
9791139728002,손자병법 - 이겨놓고 싸우는 인생의 지혜,"손무 (지은이), 소준섭 (옮긴이)",국내도서>인문학>교양 인문학,46982
9791167740984,"도둑맞은 집중력 - 집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 (지은이), 김하현 (옮긴이)",국내도서>인문학>심리학/정신분석학>교양 심리학,46194
9791199555112,일본 광고 카피 도감,오하림 (지은이),국내도서>에세이>한국에세이,45672
